Timestamp,Object,Confidence
2026-08-13 17:50:06.300488,motorcycle,0.53
2026-08-13 17:50:06.300488,car,0.48
2026-08-13 17:50:06.300488,car,0.48
2026-08-13 17:50:06.300488,car,0.44
2026-08-13 17:50:06.300488,bus,0.39
2026-08-13 17:50:06.300488,car,0.36
2026-08-13 17:50:06.300488,car,0.33
2026-08-13 17:50:06.300488,person,0.3
2026-08-13 17:50:06.300488,bus,0.26
2026-08-13 17:50:06.302505,car,0.25
2026-08-13 17:50:06.415838,car,0.71
2026-08-13 17:50:06.415838,car,0.68
2026-08-13 17:50:06.415838,car,0.67
2026-08-13 17:50:06.417860,bus,0.64
2026-08-13 17:50:06.417860,car,0.64
2026-08-13 17:50:06.417860,car,0.63
2026-08-13 17:50:06.417860,car,0.62
2026-08-13 17:50:06.417860,car,0.57
2026-08-13 17:50:06.417860,car,0.56
2026-08-13 17:50:06.417860,bus,0.52
2026-08-13 17:50:06.418885,car,0.51
2026-08-13 17:50:06.418885,car,0.47
2026-08-13 17:50:06.418885,motorcycle,0.46
2026-08-13 17:50:06.418885,car,0.44
2026-08-13 17:50:06.418885,bus,0.34
2026-08-13 17:50:06.418885,car,0.29
2026-08-13 17:50:06.418885,person,0.27
2026-08-13 17:50:06.418885,car,0.26
2026-08-13 17:50:06.534287,car,0.75
2026-08-13 17:50:06.534287,car,0.72
2026-08-13 17:50:06.534287,car,0.7
2026-08-13 17:50:06.535803,car,0.69
2026-08-13 17:50:06.535803,car,0.68
2026-08-13 17:50:06.535803,car,0.62
2026-08-13 17:50:06.535803,bus,0.6
2026-08-13 17:50:06.536307,car,0.53
2026-08-13 17:50:06.536307,car,0.51
2026-08-13 17:50:06.536307,car,0.49
2026-08-13 17:50:06.536307,car,0.48
2026-08-13 17:50:06.536307,car,0.44
2026-08-13 17:50:06.536307,bus,0.41
2026-08-13 17:50:06.536307,bus,0.39
2026-08-13 17:50:06.536307,car,0.37
2026-08-13 17:50:06.536307,car,0.34
2026-08-13 17:50:06.536307,car,0.33
2026-08-13 17:50:06.536307,bus,0.28
2026-08-13 17:50:06.536307,motorcycle,0.26
2026-08-13 17:50:06.536307,car,0.25
2026-08-13 17:50:06.652901,car,0.72
2026-08-13 17:50:06.652901,car,0.7
2026-08-13 17:50:06.652901,car,0.68
2026-08-13 17:50:06.652901,car,0.67
2026-08-13 17:50:06.652901,car,0.62
2026-08-13 17:50:06.652901,car,0.57
2026-08-13 17:50:06.652901,car,0.57
2026-08-13 17:50:06.652901,bus,0.56
2026-08-13 17:50:06.652901,car,0.49
2026-08-13 17:50:06.654906,car,0.46
2026-08-13 17:50:06.654906,car,0.46
2026-08-13 17:50:06.654906,car,0.44
2026-08-13 17:50:06.654906,car,0.39
